uuid,name,class,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11
,"Hypertension, Intake, Chief Complaint Data",Concept Details,Chief Complaint,,,,,"Hypertension, Intake, Chief Complaint","Hypertension, Intake, Chief Complaint Non Coded","Hypertension, Intake, Chief Complaint Duration",,,,,,,,
,"Hypertension, Past Diagnostics",Misc,Past Diagnostics,,,,,"Hypertension, EKG","Hypertension, Echocardiogram","Hypertension, Lipids",,,,,,,,
,"Hypertension, Intake, Etiology",Misc,Etiology,,,,,"Hypertension, Intake, Risk Factors","Hypertension, Intake, Primary Hypertension","Hypertension, Intake, Secondary Hypertension",,,,,,,,
,"Hypertension, Exposures",Misc,Exposures,,,,,"Hypertension, Smoking History","Hypertension, Smokes Packs Per Day","Hypertension, Number of years since smoking","Hypertension, Alcohol Abuse",,,,,,,
,Hypertension Intake Template,Misc,Hypertension - Intake,,,,,"Hypertension, Intake, Chief Complaint Data","Hypertension, Diagnosis Date","Hypertension, Symptoms of Complication","Hypertension, Hypertensive Emergency 12 Months","Hypertension, Hypertensive Emergency Cause","Hypertension, Past Diagnostics","Hypertension, Intake, Etiology","Hypertension, Exposures","Hypertension, Current Home Medications",,
,"Hypertension, Progress, Chief Complaint Data",Concept Details,Chief Complaint,,,,,"Hypertension, Progress, Chief Complaint","Hypertension, Progress, Chief Complaint Non Coded","Hypertension, Progress, Chief Complaint Duration",,,,,,,,
,"Hypertension, Progress, Etiology",Misc,Etiology,,,,,"Hypertension, Progress, Risk Factors","Hypertension, Progress, Primary Hypertension","Hypertension, Progress, Secondary Hypertension",,,,,,,,
,"Hypertension, Assessment and Management",Misc,Assessment And Management,"Follow up - Pre-htn q12month exam only <br> - Stage 1 lifestyle--> 6mo.<br> - S1/2/3 at BP goal on meds, cont meds _ see in 3 months<br> - Not at goal, titrate up or add 2nd agent _ see in 1 week, counsel to return if severe headache, blurry vision, chest pain, or dyspnea. <br> - Signs/symtoms HTN emergency _ send to ER<br> COUNSEL ALL PATIENTS ON MEDICATION SIDE EFFECTS<br> MEDS<br> - hctz<br> - ACEi (do not give to pregnant women <br> - ca-ch-block amlodipine<br> - b blocker / atenolol<br> Checklist <br> - 1 time initially CBC, lytes, thyroid, EKG<br> - q12mo creatitine, Urine for protein <br> - Screen lipids q12mo<br> - Advise q12mo eye exam by ophthalmologist<br> ER REFERRAL/ IPD admission<br> IF patient for Hypertensive Emergency (BP > 200/120 mmHg with evidence of headache,blurred vision, chest pain, dyspnea)<br>",,,,"Hypertension, At Goal Today",,,,,,,,,,
,Hypertension Progress Template,Misc,Hypertension - Progress,,,,,"Hypertension, Progress, Chief Complaint Data","Hypertension, Diagnostic Criteria","Hypertension, Progress, Etiology","Hypertension, Drug Compliance","Hypertension, Non Compliance Reasons","Hypertension, Drug Non Compliance Since When","Hypertension, Senior Health Worker Action Taken","Hypertension, Current Status","Hypertension, Symptoms of Complication","Hypertension, Physical Examination Details","Hypertension, Assessment and Management"
,Hypertension Templates,Misc,Hypertension,,,,,Hypertension Intake Template,Hypertension Progress Template,,,,,,,,,
