uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16,answer.17,answer.18,answer.19,answer.20,answer.21,answer.22,answer.23,answer.24,answer.25,answer.26,answer.27,answer.28,answer.29,answer.30,answer.31,answer.32,answer.33,answer.34,answer.35,answer.36,answer.37,answer.38,answer.39,answer.40,answer.41,answer.42,answer.43,answer.44,answer.45,answer.46,answer.47,answer.48,answer.49,answer.50,answer.51,answer.52,answer.53,answer.54,answer.55,answer.56,answer.57,answer.58,answer.59,answer.60,answer.61,answer.62,answer.63,answer.64,answer.65,answer.66,answer.67,answer.68,answer.69,answer.70,answer.71,answer.72,answer.73,answer.74,answer.75,answer.76,answer.77,answer.78,answer.79,answer.80,answer.81,answer.82,answer.83,answer.84,answer.85,answer.86,answer.87,answer.88,answer.89,answer.90,answer.91,answer.92,answer.93,answer.94,answer.95,answer.96,answer.97,answer.98,answer.99,answer.100,answer.101,answer.102,answer.103,answer.104,answer.105,answer.106,answer.107,answer.108,answer.109,answer.110,answer.111,answer.112,answer.113,answer.114,answer.115,answer.116,answer.117,answer.118,answer.119,answer.120,answer.121,answer.122,answer.123,answer.124,answer.125,answer.126,answer.127,answer.128,answer.129,answer.130,answer.131,answer.132,answer.133,answer.134,answer.135,answer.136,answer.137,answer.138,answer.139,answer.140,answer.141,answer.142,answer.143,answer.144,answer.145,answer.146,answer.147,answer.148,answer.149,answer.150,answer.151,answer.152,answer.153,answer.154,answer.155,answer.156,answer.157,answer.158,answer.159,answer.160,answer.161,answer.162,answer.163,answer.164,answer.165,answer.166,answer.167,answer.168,answer.169,answer.170,answer.171,answer.172,answer.173,answer.174,answer.175,answer.176,answer.177,answer.178,answer.179,answer.180,answer.181,answer.182,answer.183,answer.184,answer.185,answer.186,answer.187,answer.188,answer.189
,"Hypertension, Progress, Chief Complaint",,Misc,Coded,Chief Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Progress, Chief Complaint Non Coded",,Misc,Text,Chief Complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Progress, Chief Complaint Answers",,Misc,Coded,,,,,,Abdominal Distension,Abdominal Lump,All joint pain,Amenorrhea,Anasarca,Anorexia,Antalgic gait,Anxiety,Anxiety states,Backache,Belching,Bitterness In Mouth,Bleeding Per Mouth,Bleeding Per Nose,Bleeding Per Rectum,Bleeding Per Vaginum,"Bleeding, rectal",Blood in Sputum,Blood in vomiting,Bodyache,Breathlessness,Breathlessness Off And On,Burning in Epigastrium and Chest,Burning Micturition,Burning Sensation,Burning Sensation All Over Abdomen,Burning Sensation Perineal,Change of Voice,Chest Pain,Cleft lip,Cleft Palate,Cold,Constipation,Convulsions,Cough,"Crying, infant, excessive",Decreased Appetite,Decreased interest in work,Dental caries,Disturbed Sleep,Dog bite,Dysentery,Dysparenia,Dysphagia,Dysuria,Earache,"Edema, localized, NOS",Enuresis,Epigastric Pain,Epistaxis,Erectile Dysfunction,Excessive hunger,Exercise tolerance decreasing,Facial Swelling,"Failure to thrive, child","Fatigue and malaise, other","Feeding problem, infant/elderly",Female Infertility,Fever,Fracture upper arm,Fullness of abdomen,Gas formation in abdomen,Gas/bloating,Generalised Weakness,Giddiness,Gingival and periodontal diseases,Headache,Hearing loss,Heartburn,Hemiplegia and hemiparesis,Hemoptysis,Hemorrhoids,Hiccups,Hoarseness,Hoarseness of voice,Hypospadias,Indigestion,Infertility,Inguinal Swelling,Inguinoscrotal Swelling,Injury,Irregular menstrual cycle,Itching generalised,Itching In The Perineal Area,Jaundice,"Joint swelling, single","Localized swelling/mass, superficial",Loose Stools,Loss of memory,Loss Of Weight,Low backache,Lump in breast,Malaise and fatigue,Memory loss,Mental status changes,Mild Hypertension,Moderate Hypertension,Morning stiffness,Nausea w/ vomiting,"Nausea, alone",Nocturia,Obesity,Obstructed labor,"Pain In Arm, Unspecified",Pain in Eye,Pain In Left Arm,Pain In Left Breast,Pain In Left Finger(S),Pain In Left Foot,Pain In Left Forearm,Pain In Left Hand,Pain In Left Leg,Pain In Left Lower Leg,Pain In Left Thigh,Pain In Left Toe(S),Pain In Left Upper Arm,"Pain In Leg, Unspecified",Pain In Right Arm,Pain In Right Breast,Pain In Right Finger(S),Pain In Right Foot,Pain In Right Forearm,Pain In Right Hand,Pain In Right Leg,Pain In Right Lower Leg,Pain In Right Thigh,Pain In Right Toe(S),Pain In Right Upper Arm,Pain In Unspecified Finger(S),Pain In Unspecified Foot,Pain In Unspecified Forearm,Pain In Unspecified Hand,Pain In Unspecified Limb,Pain In Unspecified Lower Leg,Pain In Unspecified Thigh,Pain In Unspecified Toe(S),Pain In Unspecified Upper Arm,"Pain, Abdomen","Pain, chronic, due to trauma","Pain, knee",Painful Defecation,Palpitations,Paralysis,Per Vaginal Discharge,Per Vaginal Discharge Blood Mixed,Polyarthralgia,Polyuria,Poor memory,Postural giddiness,Premature ejaculation,"Rash, nonvesicular, unspec.",Roughness Of Skin,Scanty Cycles,Scrotal Swelling,Seizures,"Seizures, simple, febrile, unspec.",Severe Hypertension,Shortness of breath,Sickle-cell anemia,Skin Rash,Something coming out of anus,Somethingcoming out per vaginum,Sore Throat,Stomatitis and mucositis,"Sweating, excessive",Swelling,Swelling of limb,Swelling on bilateral ankle joint,Swelling on bilateral elbow,Swelling on left elbow,Swelling on left foot,Swelling on neck,Swelling on right elbow,Swelling on right foot,Swelling over left ankle joint,Swelling over right ankle joint,Throat pain,Tingling,Tinnitus,Toothache,Ulcer of heel and midfoot,Ulcer of lower limbs,Urticaria,Vertigo,Vitiligo,Vomiting,Walking difficulty,Wheezing,White Discharge
,"Hypertension, Progress, Chief Complaint Duration",,Duration,Numeric,Duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Diagnostic Criteria",- Normal blood pressure: systolic less than 120 mmHg and diastolic less than 80 mmHg<br> - Prehypertension: systolic 120 to 139 mmHg or diastolic 80 to 89 mmHg<br> - Hypertension:<br> - Stage 1: systolic 140 to 159 mmHg or diastolic 90 to 99 mmHg<br> - Stage 2: systolic greater than equal to 160 or diastolic greater than equal to 100 mmHg<br> - Stage 3: greater than 180 systolic and greater than 110 diastolic<br>,Misc,Coded,Diagnostic Criteria,,,,,Normal Blood Pressure,Prehypertension,Hypertension,Stage 1,Stage 2,Stage 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Progress, Risk Factors",,Misc,Coded,Risk Factors,,,,,Excess Sodium Intake,Obesity And Weight Gain,Excess Alcohol Intake,Lack of exercise,Dyslipidemia,Family History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Progress, Primary Hypertension","Poorly understood mechanism, but risk factors above",Misc,Text,Primary/Essential Hypertension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Progress, Secondary Hypertension",,Misc,Coded,Secondary Hypertension,,,,,Primary Renal Disease,Oral Contraceptives,Drug Induced,Pain Due To Other Illness,Endocrine Hypothyroidism,Hyperthyroidism,Hyperparathyroidism,Coarctation Of Aorta,Renovascular Disease,Obstructive Sleep Apnea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Drug Compliance",,Misc,Boolean,Drug Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hypertension, Non Compliance Reasons",,Misc,Text,Non Compliance Reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
