uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5
,Date of Surgery,,Misc,Date,Date of Surgery,,,,,,,,,,
,Surgical Procedure,,Misc,Coded,Surgical Procedure,,,,,,,,,,
,Surgical Procedure Non Coded,,Misc,Text,Surgical Procedure,,,,,,,,,,
,Surgical Procedure Answers,,Misc,Coded,Surgical Procedure Answers,,,,,,,,,,
,Operating Surgeon,,Misc,Text,Surgeon,,,,,,,,,,
,Operating Assistant Surgeon,,Misc,Text,Assistant Surgeon,,,,,,,,,,
,Operation Anesthetist,,Misc,Text,Anesthetist,,,,,,,,,,
,Scrub Nurse,,Misc,Text,Scrub Nurse,,,,,,,,,,
,Anesthesia Administered,,Misc,Coded,Anesthesia,,,,,,General Anesthesia,Spinal Anesthesia,Epidural Anesthesia,Local Anesthesia,Ketamine
,Incision,,Misc,Text,Incision,,,,,,,,,,
,Operation Findings,,Misc,Text,Findings,,,,,,,,,,
,Operative Drains,,Misc,Text,Drains,,,,,,,,,,
,Operative Complications,,Misc,Text,Operative Complications,,,,,,,,,,
,Blood loss during operation,,Misc,Numeric,Blood Loss,,,,,,,,,,
,Operation Duration,,Misc,Numeric,Duration,,,,,,,,,,
,Cytopathology Number,,Misc,Numeric,Cytopath No.,,,,,,,,,,
,Histopathology Number,,Misc,Numeric,Histopath (No. and labeling),,,,,,,,,,
,Intra operation specimens and results,,Misc,Text,Intra OP specimens (& Results),,,,,,,,,,
,Other Operation Notes,,Misc,Text,Notes,,,,,,,,,,
