uuid,name,class,shortname,description,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13
,"Rheumatoid Arthritis, Evidence Of Other Cause",Misc,Any evidence of other cause for Joint Pain / Swelling,,"Rheumatoid Arthritis, Top Differential Diagnosis","Rheumatoid Arthritis, Pain Assessment","Rheumatoid Arthritis, Pain Assessment Abnormal ","Rheumatoid Arthritis, Pain Assessment Today","Rheumatoid Arthritis, Joints Affected Today",,,,,,,,
,"Rheumatoid Arthritis, Current Medication Details",Misc,Current medication details,,"Rheumatoid Arthritis, Current Home Medications","Rheumatoid Arthritis, All Other Medicines","Rheumatoid Arthritis, Non-compliance","Rheumatoid Arthritis, Non-compliance Reason",,,,,,,,,
,"Rheumatoid Arthritis, Physical Examination",Misc,Physical Examination,,"Rheumatoid Arthritis, Systolic","Rheumatoid Arthritis, Systolic Abnormal","Rheumatoid Arthritis, Diastolic","Rheumatoid Arthritis, Diastolic Abnormal","Rheumatoid Arthritis, Pulse","Rheumatoid Arthritis, Pulse Abnormal","Rheumatoid Arthritis, RR","Rheumatoid Arthritis, RR Abnormal","Rheumatoid Arthritis, SAT","Rheumatoid Arthritis, SAT Abnormal","Rheumatoid Arthritis, Temperature","Rheumatoid Arthritis, Temperature Abnormal","Rheumatoid Arthritis, Physical Examination Details"
,"Rheumatoid Arthritis, Labs",Misc,Labs,"First diagnosis / prior to methotrexate<br> 
ORDER-<br>
- baseline complete blood count, serum creatinine, aminotransferases,<br>
 erythrocyte sedimentation rate (ESR), and C-reactive protein (CRP)<br>
 in all patients q6months Chest Xray, LFTs<br>",,,,,,,,,,,,,
,"Rheumatoid Arthritis, Assessment ",Misc,Assessment and Followup,"- Symptoms controlled, keep on mtx ‰ Õ f/u 3 months for LFTs<br>
- Not controlled, uptitrate mtx 2.5 mg and add NSAID and prednisolone<br>
 10mg po daily‰ Õ f/u in 1 week<br>
- Still not controlled on prednis 10 ‰ Õ titrate up--> f/u 1 week<br>
- Severe intractable pain / febrile / ill appearing ‰ Õ refer to ER/IPD<br>",,,,,,,,,,,,,
,Rheumatoid Arthritis Progress Template,Misc,Rheumatoid Arthritis - Progress,,"Rheumatoid Arthritis, Evidence Of Other Cause","Rheumatoid Arthritis, Chief Complaint","Rheumatoid Arthritis, New Symptoms","Rheumatoid Arthritis, Recent Steroid Treatment","Rheumatoid Arthritis, Current Medication Details","Rheumatoid Arthritis, Physical Examination","Rheumatoid Arthritis, Labs","Rheumatoid Arthritis, Assessment ",,,,,
,"Rheumatoid Arthritis, Diagnosis Details",Misc,Diagnosis details,,"Rheumatoid Arthritis, Last Visit Date","Rheumatoid Arthritis, Previous followup location","Rheumatoid Arthritis, Diagnosis Status","Rheumatoid Arthritis, Date Confirmed","Rheumatoid Arthritis, Diagnosis Location","Rheumatoid Arthritis, Arthritis Type",,,,,,,
,"Rheumatoid Arthritis, Patient Meets Diagnostic Criteria",Misc,Diagnostic Criteria,,"Rheumatoid Arthritis, Meets All 5 Diagnostic Criteria","Rheumatoid Arthritis, Meets All 3 Diagnostic Criteria","Rheumatoid Arthritis, Number And Site Score","Rheumatoid Arthritis, Serological Abnormality Score","Rheumatoid Arthritis, Elevated Acute Phase Response Score","Rheumatoid Arthritis, Symptom Duration Score",,,,,,,
,"Rheumatoid Arthritis, Exposures",Misc,Exposures,,"Rheumatoid Arthritis, Smoking History","Rheumatoid Arthritis, Packs per day","Rheumatoid Arthritis, Number of years","Rheumatoid Arthritis, Alcohol Abuse","Rheumatoid Arthritis, Currently Exposed to Alcohol","Rheumatoid Arthritis, Alcohol Abuse Details",,,,,,,
,"Rheumatoid Arthritis, Current Medication",Misc,Current medication,,"Rheumatoid Arthritis, Current Home Medications","Rheumatoid Arthritis, Details of Current Home Medications","Rheumatoid Arthritis, Other Current Home Medications","Rheumatoid Arthritis, Non Compliance","Rheumatoid Arthritis, Non Compliance Reason",,,,,,,,
,Rheumatoid Arthritis Intake Template,Misc,Rheumatoid Arthritis - Intake,,"Rheumatoid Arthritis, Diagnosis Details","Rheumatoid Arthritis, Patient Meets Diagnostic Criteria","Rheumatoid Arthritis, Exposures","Rheumatoid Arthritis, Current Medication",,,,,,,,,
,Rheumatoid Arthritis Templates,Misc,Misc,Rheumatoid Arthritis,Rheumatoid Arthritis Intake Template,Rheumatoid Arthritis Progress Template,,,,,,,,,,,
